customer_no,acct_type,enquiry_count
1,0.0,2
1,2.0,1
1,5.0,1
1,10.0,14
2,0.0,21
2,3.0,2
2,5.0,1
2,10.0,5
2,12.0,2
2,40.0,2
2,51.0,22
2,53.0,5
2,54.0,8
3,1.0,1
4,0.0,3
4,1.0,3
4,5.0,13
4,51.0,14
4,52.0,1
5,10.0,2
6,0.0,3
6,1.0,2
6,2.0,10
6,4.0,1
6,5.0,3
6,8.0,2
6,10.0,6
7,10.0,1
8,0.0,5
8,1.0,8
8,3.0,1
8,10.0,2
8,51.0,1
9,0.0,6
9,1.0,8
9,2.0,3
9,3.0,1
9,10.0,1
10,0.0,6
10,1.0,9
10,6.0,1
10,10.0,5
11,0.0,3
11,1.0,2
11,2.0,6
11,5.0,1
11,10.0,10
11,51.0,3
12,0.0,5
12,1.0,1
12,2.0,2
12,3.0,1
12,10.0,7
12,12.0,2
12,51.0,8
13,2.0,7
13,10.0,15
14,1.0,1
14,10.0,21
15,1.0,4
15,10.0,2
16,0.0,8
16,1.0,3
16,2.0,5
16,3.0,1
16,5.0,3
16,12.0,6
16,51.0,16
16,52.0,1
16,54.0,1
17,0.0,7
17,3.0,1
17,10.0,8
17,51.0,12
17,53.0,4
17,55.0,2
17,57.0,1
18,1.0,1
18,2.0,1
18,10.0,7
19,0.0,1
19,10.0,9
20,0.0,1
20,1.0,8
20,2.0,1
20,3.0,1
20,5.0,1
20,6.0,1
20,10.0,8
20,12.0,1
20,51.0,8
21,0.0,2
21,2.0,1
21,6.0,1
21,10.0,4
21,51.0,1
23,0.0,3
23,1.0,7
23,2.0,2
23,6.0,1
23,12.0,1
23,51.0,6
23,54.0,1
24,0.0,5
24,1.0,3
24,2.0,1
24,5.0,1
24,10.0,3
25,0.0,6
26,0.0,1
26,10.0,1
27,5.0,1
27,12.0,1
27,51.0,1
28,0.0,1
28,1.0,5
28,3.0,2
28,10.0,13
28,51.0,1
29,0.0,1
29,1.0,2
29,3.0,2
29,10.0,3
29,51.0,1
30,0.0,2
30,1.0,1
31,0.0,1
31,1.0,2
31,10.0,5
31,51.0,2
31,53.0,1
32,10.0,5
33,0.0,1
33,2.0,1
33,10.0,3
34,0.0,2
34,1.0,1
34,10.0,7
35,0.0,1
35,1.0,1
35,2.0,5
35,10.0,2
35,12.0,2
36,0.0,2
36,2.0,2
36,10.0,2
36,12.0,1
37,0.0,4
37,1.0,2
37,2.0,2
37,12.0,1
38,2.0,2
39,2.0,3
39,4.0,1
39,10.0,6
40,10.0,5
41,0.0,1
41,10.0,5
42,1.0,1
42,52.0,3
42,54.0,1
43,0.0,29
43,1.0,36
43,3.0,2
43,5.0,6
43,6.0,1
43,7.0,4
43,10.0,24
43,12.0,1
43,32.0,1
43,51.0,7
44,0.0,4
44,1.0,1
44,2.0,12
44,4.0,1
44,10.0,7
