,customer_no,owner_indic,count,acct_type,utilization,utilization_count,cur_balance_amt,enquiry_count
0,1,1,17,2,High,3,325490,1
1,1,4,1,2,High,1,1754678,1
2,1,1,17,5,High,1,0,1
3,1,1,17,5,Low,2,0,1
4,1,1,17,10,High,6,2634689,14
5,1,1,17,10,Low,2,2634689,14
6,2,1,2,10,Balanced,1,30754,5
7,2,1,2,10,High,1,30754,5
8,4,1,10,1,High,2,1637496,3
9,4,3,5,5,High,1,0,13
10,4,4,1,5,High,1,0,13
11,4,3,5,51,High,3,0,14
12,5,1,7,10,High,4,7973,2
13,5,1,7,10,Low,2,7973,2
14,6,1,30,1,High,1,0,2
15,6,1,30,2,High,3,9129769,10
16,6,4,5,2,High,3,6240281,10
17,6,1,30,5,High,10,865823,3
18,6,1,30,5,Low,1,865823,3
19,6,1,30,10,High,8,45663,6
20,6,1,30,10,Low,5,45663,6
21,6,2,1,10,High,1,0,6
22,6,4,5,8,High,1,7310484,2
23,7,1,4,10,High,1,37897,1
24,7,1,4,10,Low,3,37897,1
25,7,2,3,10,High,1,13257,1
26,7,2,3,10,Low,2,13257,1
27,8,1,12,10,High,7,29079,2
28,8,1,12,10,Low,3,29079,2
29,8,2,1,10,High,1,0,2
30,8,4,1,3,High,1,14000000,1
31,9,1,2,10,Balanced,1,119721,1
32,9,1,2,10,Low,1,119721,1
33,9,2,2,10,High,2,6915,1
34,9,4,1,3,High,1,14000000,1
35,10,1,9,1,High,2,0,9
36,10,1,9,6,High,1,0,1
37,10,1,9,10,High,4,247719,5
38,10,1,9,10,Low,1,247719,5
39,10,2,2,10,High,2,0,5
40,11,1,14,10,High,3,13457,10
41,11,1,14,10,Low,10,13457,10
42,11,2,2,10,Low,2,0,10
43,11,4,2,2,High,2,854668,6
44,12,1,9,2,High,4,7486960,2
45,12,1,9,10,Low,5,2637,7
46,12,4,1,0,High,1,-7108,5
47,13,1,13,2,High,1,256321,7
48,13,4,1,2,High,1,0,7
49,13,1,13,10,High,6,14673,15
50,13,1,13,10,Low,6,14673,15
51,13,2,1,10,High,1,0,15
52,14,1,9,10,High,4,39905,21
53,14,1,9,10,Low,5,39905,21
54,15,1,2,1,High,2,219411,4
55,16,1,23,1,High,8,3602584,3
56,16,3,4,1,High,4,3032430,3
57,16,1,23,2,High,7,2486699,5
58,16,4,11,2,High,7,0,5
59,16,1,23,3,High,1,14087026,1
60,16,4,11,51,High,4,4787382,16
61,17,1,6,10,High,5,50747,8
62,18,1,12,1,High,1,105111,1
63,18,1,12,10,High,8,121738,7
64,18,1,12,10,Low,3,121738,7
65,18,2,1,10,Low,1,0,7
66,18,4,3,2,High,3,5871868,1
67,19,1,7,10,High,1,131974,9
68,19,1,7,10,Low,5,131974,9
69,19,2,5,10,Low,5,77187,9
