customer_no,acct_type,owner_indic,cur_balance_amt
1,2,1,325490
1,2,4,1754678
1,5,1,0
1,6,1,0
1,10,1,2634689
2,10,1,30754
3,10,1,17864
4,1,1,1637496
4,2,3,0
4,5,3,0
4,5,4,0
4,10,1,208073
4,10,2,0
4,51,3,0
5,2,1,0
5,10,1,7973
6,1,1,0
6,2,1,9129769
6,2,4,6240281
6,3,1,0
6,5,1,865823
6,8,4,7310484
6,10,1,45663
6,10,2,0
6,12,1,567
6,12,4,202994
7,10,1,37897
7,10,2,13257
8,3,4,14000000
8,6,1,0
8,10,1,29079
8,10,2,0
8,12,3,0
9,3,4,14000000
9,10,1,119721
9,10,2,6915
9,12,3,0
10,1,1,0
10,5,1,0
10,6,1,0
10,10,1,247719
10,10,2,0
10,12,3,0
11,2,4,854668
11,10,1,13457
11,10,2,0
11,15,1,0
12,0,4,-7108
12,2,1,7486960
12,10,1,2637
13,2,1,256321
13,2,4,0
13,6,3,0
13,10,1,14673
13,10,2,0
14,10,1,39905
15,1,1,219411
16,1,1,3602584
16,1,3,3032430
16,2,1,2486699
16,2,4,0
16,3,1,14087026
16,10,1,19230
16,51,4,4787382
17,1,1,85912
17,10,1,50747
18,1,1,105111
18,2,4,5871868
18,10,1,121738
18,10,2,0
19,1,4,0
19,4,1,0
19,10,1,131974
19,10,2,77187
20,0,1,539975
20,1,1,515739
20,1,4,0
20,10,1,695929
21,10,1,78662
21,10,2,17842
22,1,1,0
22,10,1,-1
23,1,1,0
23,1,4,0
23,2,1,24839600
23,3,1,2911015
23,5,1,0
23,10,1,2055
24,1,1,0
24,1,4,349991
24,6,1,0
24,10,1,5766
25,2,1,0
25,5,1,618021
25,10,1,253406
26,10,1,2118
26,12,4,-9137
27,10,1,0
27,10,2,115207
28,1,1,2377944
28,1,4,541147
28,10,1,463731
28,10,2,152140
29,10,1,316262
29,10,2,0
30,10,1,0
31,0,1,433572
31,1,1,271807
31,10,1,72
31,52,1,0
32,10,1,40636
33,1,1,0
33,10,1,-5143
33,10,2,-4769
34,1,1,578004
34,10,1,261863
34,10,2,-20667
35,1,1,0
35,2,1,0
35,2,4,27170606
35,10,1,1026
36,10,1,32996
37,1,1,0
37,1,4,2568019
37,10,2,0
38,2,4,4419935
38,10,1,0
38,10,2,0
39,2,4,1057984
39,10,1,8137
39,10,2,0
40,10,1,4896
40,10,2,0
41,1,1,0
41,2,4,6149607
41,10,1,21090
41,10,2,0
42,0,3,6614497
42,2,1,1473833
42,6,1,0
42,6,3,0
42,10,1,44048
42,12,3,1561783
43,0,1,0
43,1,1,4583259
43,1,3,1330370
43,1,4,2400988
43,3,1,7307591
43,5,1,834855
43,7,1,6722931
43,10,1,898122
43,17,1,0
43,17,3,0
43,32,1,0
43,32,4,0
44,2,1,-33311
44,2,4,1564594
44,10,1,91400
45,1,1,0
45,2,1,2749265
45,2,4,0
45,10,1,269403
46,10,1,0
47,10,1,2
48,1,1,398903
48,5,1,5588361
48,5,4,2163610
48,6,1,0
48,10,1,391170
48,35,4,286326
49,1,1,0
49,5,1,1003043
49,10,1,5415
49,13,1,0
50,1,1,0
50,2,1,0
50,4,1,5812579
50,10,1,-9474
51,0,1,2336803
51,1,1,2341003
51,1,3,101017
51,1,4,6565790
51,2,1,7043450
51,2,3,38596
51,2,4,39773355
51,5,1,404899
