customer_no,owner_indic,acct_type,utilization,utilization_count
1,1,2,High,3
1,1,5,High,1
1,1,5,Low,2
1,1,6,Low,3
1,1,10,High,6
1,1,10,Low,2
1,4,2,High,1
2,1,10,Balanced,1
2,1,10,High,1
3,1,10,High,1
4,1,1,High,2
4,1,10,High,3
4,1,10,Low,5
4,2,10,High,1
4,3,2,High,1
4,3,5,High,1
4,3,51,High,3
4,4,5,High,1
5,1,2,High,1
5,1,10,High,4
5,1,10,Low,2
6,1,1,High,1
6,1,2,High,3
6,1,3,High,1
6,1,5,High,10
6,1,5,Low,1
6,1,10,High,8
6,1,10,Low,5
6,1,12,High,1
6,2,10,High,1
6,4,2,High,3
6,4,8,High,1
6,4,12,High,1
7,1,10,High,1
7,1,10,Low,3
7,2,10,High,1
7,2,10,Low,2
8,1,6,Low,2
8,1,10,High,7
8,1,10,Low,3
8,2,10,High,1
8,3,12,High,1
8,4,3,High,1
9,1,10,Balanced,1
9,1,10,Low,1
9,2,10,High,2
9,3,12,High,1
9,4,3,High,1
10,1,1,High,2
10,1,5,High,1
10,1,6,High,1
10,1,10,High,4
10,1,10,Low,1
10,2,10,High,2
10,3,12,High,1
11,1,10,High,3
11,1,10,Low,10
11,1,15,High,1
11,2,10,Low,2
11,4,2,High,2
12,1,2,High,4
12,1,10,Low,5
12,4,0,High,1
13,1,2,High,1
13,1,10,High,6
13,1,10,Low,6
13,2,10,High,1
13,3,6,High,1
13,4,2,High,1
14,1,10,High,4
14,1,10,Low,5
15,1,1,High,2
16,1,1,High,8
16,1,2,High,7
16,1,3,High,1
16,1,10,High,4
16,1,10,Low,3
16,3,1,High,4
16,4,2,High,7
16,4,51,High,4
17,1,1,High,1
17,1,10,High,5
18,1,1,High,1
18,1,10,High,8
18,1,10,Low,3
18,2,10,Low,1
18,4,2,High,3
19,1,4,High,1
19,1,10,High,1
19,1,10,Low,5
19,2,10,Low,5
19,4,1,High,2
20,1,0,High,1
20,1,1,High,1
20,1,10,High,3
20,4,1,High,1
21,1,10,High,3
21,1,10,Low,3
21,2,10,High,1
22,1,1,High,3
22,1,10,High,2
23,1,1,High,1
23,1,2,High,2
23,1,3,High,1
23,1,5,High,1
23,1,10,High,2
23,4,1,High,1
24,1,1,High,3
24,1,6,Low,1
24,1,10,High,3
24,1,10,Low,4
24,4,1,High,1
25,1,2,High,1
25,1,5,High,3
25,1,5,Low,2
25,1,10,High,4
25,1,10,Low,3
26,1,10,High,5
26,1,10,Low,5
26,4,12,High,2
27,1,10,Low,1
27,2,10,High,2
27,2,10,Low,1
28,1,1,High,2
28,1,10,High,5
28,1,10,Low,3
28,2,10,High,2
28,4,1,High,1
29,1,10,High,2
29,1,10,Low,2
29,2,10,High,1
30,1,10,Low,1
31,1,0,High,1
31,1,1,High,2
31,1,10,High,1
