customer_no,owner_indic,acct_type,count
1,1,10,8
1,1,2,3
1,1,5,3
1,1,6,3
1,4,2,1
2,1,10,2
3,1,10,1
4,1,10,8
4,1,1,2
4,2,10,1
4,3,51,3
4,3,2,1
4,3,5,1
4,4,5,1
5,1,10,6
5,1,2,1
6,1,10,13
6,1,5,11
6,1,2,3
6,1,1,1
6,1,3,1
6,1,12,1
6,2,10,1
6,4,2,3
6,4,8,1
6,4,12,1
7,1,10,4
7,2,10,3
8,1,10,10
8,1,6,2
8,2,10,1
8,3,12,1
8,4,3,1
9,1,10,2
9,2,10,2
9,3,12,1
9,4,3,1
10,1,10,5
10,1,1,2
10,1,5,1
10,1,6,1
10,2,10,2
10,3,12,1
11,1,10,13
11,1,15,1
11,2,10,2
11,4,2,2
12,1,10,5
12,1,2,4
12,4,0,1
13,1,10,12
13,1,2,1
13,2,10,1
13,3,6,1
13,4,2,1
14,1,10,9
15,1,1,2
16,1,1,8
16,1,2,7
16,1,10,7
16,1,3,1
16,3,1,4
16,4,2,7
16,4,51,4
17,1,10,5
17,1,1,1
18,1,10,11
18,1,1,1
18,2,10,1
18,4,2,3
19,1,10,6
19,1,4,1
19,2,10,5
19,4,1,2
20,1,10,3
20,1,0,1
20,1,1,1
20,4,1,1
21,1,10,6
21,2,10,1
22,1,1,3
22,1,10,2
23,1,2,2
23,1,10,2
23,1,1,1
23,1,3,1
23,1,5,1
23,4,1,1
24,1,10,7
24,1,1,3
24,1,6,1
24,4,1,1
25,1,10,7
25,1,5,5
25,1,2,1
26,1,10,10
26,4,12,2
27,1,10,1
27,2,10,3
28,1,10,8
28,1,1,2
28,2,10,2
28,4,1,1
29,1,10,4
29,2,10,1
30,1,10,1
31,1,10,4
31,1,1,2
31,1,0,1
31,1,52,1
32,1,10,3
33,1,10,15
33,1,1,2
33,2,10,3
34,1,10,5
34,1,1,1
34,2,10,1
35,1,10,3
35,1,1,1
35,1,2,1
35,4,2,4
36,1,10,8
37,1,1,3
37,2,10,1
37,4,1,1
38,1,10,1
38,2,10,1
38,4,2,1
39,1,10,4
39,2,10,4
39,4,2,2
40,1,10,3
40,2,10,2
41,1,10,9
41,1,1,1
41,2,10,2
41,4,2,1
42,1,10,7
42,1,2,2
42,1,6,1
42,3,12,3
42,3,0,1
42,3,6,1
43,1,1,15
43,1,10,7
43,1,17,7
43,1,7,6
43,1,0,1
43,1,3,1
43,1,5,1
43,1,32,1
43,3,1,4
43,3,17,4
43,4,1,6
43,4,32,1
44,1,10,4
44,1,2,3
44,4,2,3
45,1,10,14
45,1,2,5
45,1,1,1
45,4,2,1
46,1,10,3
47,1,10,1
48,1,10,16
48,1,5,13
48,1,1,6
48,1,6,2
48,4,5,1
48,4,35,1
49,1,10,6
49,1,5,2
49,1,13,2
49,1,1,1
50,1,10,3
50,1,1,2
50,1,2,2
50,1,4,1
51,1,10,21
51,1,5,9
51,1,1,6
51,1,0,4
51,1,2,2
51,1,6,2
51,1,32,1
51,2,10,6
51,3,1,2
51,3,2,1
51,3,5,1
51,3,6,1
51,4,2,5
51,4,1,2
51,4,12,2
51,4,15,1
52,1,10,7
53,1,10,19
53,1,1,1
53,1,2,1
53,2,10,3
53,4,2,2
54,1,10,5
54,2,10,1
54,4,32,1
55,1,10,2
56,1,10,3
56,1,5,1
56,1,8,1
57,1,10,8
57,1,6,7
57,1,5,6
57,1,1,2
57,1,12,1
57,4,2,4
58,1,10,10
59,1,10,11
59,1,0,1
59,1,6,1
59,2,10,2
59,4,2,1
60,1,5,6
60,1,10,4
60,1,6,3
60,1,2,2
60,1,0,1
60,1,1,1
60,1,9,1
60,3,3,1
60,4,2,2
60,4,3,1
60,4,5,1
61,1,10,1
62,1,10,14
62,1,2,1
62,1,12,1
62,4,2,1
63,1,10,3
64,1,10,21
64,2,10,4
64,4,12,2
64,4,1,1
65,1,10,13
65,3,1,1
66,1,10,4
66,2,10,1
67,1,10,3
67,1,5,2
67,1,0,1
67,1,6,1
67,1,55,1
67,4,2,2
68,1,10,20
68,1,1,3
68,1,6,1
69,1,10,2
69,1,2,1
70,1,10,14
70,1,5,2
70,1,6,2
70,1,1,1
70,2,10,1
70,4,2,1
70,4,3,1
70,4,12,1
71,1,10,9
71,1,2,1
71,1,8,1
71,4,2,2
72,1,10,7
72,1,3,2
72,1,2,1
72,1,12,1
72,4,2,3
72,4,1,1
72,4,12,1
73,1,10,8
73,1,5,6
73,1,9,1
73,2,10,1
73,4,2,1
74,1,10,10
74,1,1,3
74,1,5,1
74,1,6,1
74,4,2,1
75,1,10,11
75,1,12,2
75,1,0,1
75,1,15,1
76,1,10,10
76,1,5,6
76,1,4,4
76,1,51,3
76,1,1,2
76,1,15,2
76,1,6,1
76,1,13,1
76,1,17,1
76,1,52,1
76,1,53,1
76,4,51,1
77,1,10,6
77,1,1,1
77,1,2,1
77,1,6,1
77,1,12,1
77,2,10,3
78,1,1,1
78,1,5,1
78,1,10,1
78,4,1,1
79,1,10,6
79,1,1,2
79,1,6,2
79,1,2,1
79,1,5,1
79,4,2,1
80,1,10,9
80,1,1,1
80,1,2,1
80,4,2,1
81,1,10,4
81,1,6,1
81,1,54,1
82,1,1,1
82,4,1,1
82,4,3,1
83,1,10,6
83,1,2,2
84,1,10,7
84,1,1,1
84,1,12,1
84,2,10,4
84,4,1,1
84,4,4,1
85,1,10,1
85,4,3,4
85,4,2,3
86,1,10,14
86,1,2,10
86,1,1,2
86,1,15,2
86,3,2,2
87,1,10,14
87,1,1,2
87,4,51,4
88,1,10,10
88,1,6,8
88,1,1,4
88,3,2,4
88,4,1,2
88,4,2,2
88,4,3,2
89,1,10,16
89,1,1,10
89,1,5,6
89,1,6,4
89,4,1,4
90,1,10,8
90,1,5,2
90,1,1,1
90,1,2,1
90,1,15,1
90,1,32,1
90,1,52,1
90,3,2,1
90,4,2,1
90,4,3,1
90,4,5,1
90,4,12,1
91,1,10,2
91,1,2,1
91,4,2,1
92,1,10,9
92,1,2,1
93,1,10,2
94,1,2,1
95,1,5,3
95,1,6,3
95,1,10,3
95,1,13,1
96,1,10,7
96,1,5,1
96,1,13,1
97,1,10,3
97,1,5,2
