customer_no,owner_indic,count
1,1,17
1,4,1
2,1,2
3,1,1
4,1,10
4,2,1
4,3,5
4,4,1
5,1,7
6,1,30
6,2,1
6,4,5
7,1,4
7,2,3
8,1,12
8,2,1
8,3,1
8,4,1
9,1,2
9,2,2
9,3,1
9,4,1
10,1,9
10,2,2
10,3,1
11,1,14
11,2,2
11,4,2
12,1,9
12,4,1
13,1,13
13,2,1
13,3,1
13,4,1
14,1,9
15,1,2
16,1,23
16,3,4
16,4,11
17,1,6
18,1,12
18,2,1
18,4,3
19,1,7
19,2,5
19,4,2
20,1,5
20,4,1
21,1,6
21,2,1
22,1,5
23,1,7
23,4,1
24,1,11
24,4,1
25,1,13
26,1,10
26,4,2
27,1,1
27,2,3
28,1,10
28,2,2
28,4,1
29,1,4
29,2,1
30,1,1
31,1,8
32,1,3
33,1,17
33,2,3
34,1,6
34,2,1
35,1,5
35,4,4
36,1,8
37,1,3
37,2,1
37,4,1
38,1,1
38,2,1
38,4,1
39,1,4
39,2,4
39,4,2
40,1,3
40,2,2
41,1,10
41,2,2
41,4,1
42,1,10
42,3,5
43,1,39
43,3,8
43,4,7
44,1,7
44,4,3
45,1,20
45,4,1
46,1,3
47,1,1
48,1,37
48,4,2
49,1,11
50,1,8
51,1,45
51,2,6
51,3,5
51,4,10
52,1,7
53,1,21
53,2,3
53,4,2
54,1,5
54,2,1
54,4,1
55,1,2
56,1,5
57,1,24
57,4,4
58,1,10
59,1,13
59,2,2
59,4,1
60,1,18
60,3,1
60,4,4
61,1,1
62,1,16
62,4,1
63,1,3
64,1,21
64,2,4
64,4,3
65,1,13
65,3,1
66,1,4
66,2,1
67,1,8
67,4,2
68,1,24
69,1,3
70,1,19
70,2,1
70,4,3
71,1,11
71,4,2
72,1,11
72,4,5
73,1,15
73,2,1
73,4,1
74,1,15
74,4,1
75,1,15
76,1,32
76,4,1
77,1,10
77,2,3
78,1,3
78,4,1
79,1,12
79,4,1
80,1,11
80,4,1
81,1,6
82,1,1
82,4,2
83,1,8
84,1,9
84,2,4
84,4,2
85,1,1
85,4,7
86,1,28
86,3,2
87,1,16
87,4,4
88,1,22
88,3,4
88,4,6
89,1,36
89,4,4
90,1,15
90,3,1
90,4,4
91,1,3
91,4,1
92,1,10
93,1,2
94,1,1
95,1,10
96,1,9
97,1,5
98,1,20
98,2,1
99,1,9
100,1,9
101,1,3
102,1,5
103,1,10
103,4,1
104,1,3
105,1,5
106,1,6
107,1,6
108,1,12
108,2,1
109,1,1
110,1,25
110,4,3
111,1,15
111,2,2
112,1,9
113,1,8
114,1,8
115,1,7
116,1,2
117,1,5
118,1,18
118,2,1
119,1,6
120,1,5
120,4,1
121,1,2
122,1,9
123,1,8
123,3,1
124,1,4
125,1,16
126,1,10
126,4,1
127,1,7
128,1,4
129,1,15
130,1,5
131,1,5
131,4,1
132,1,6
133,1,2
133,2,1
133,4,2
134,1,26
135,1,12
136,1,3
137,1,1
138,1,2
139,1,5
140,1,15
140,4,1
141,1,14
141,2,2
141,4,1
142,1,2
143,1,7
143,4,2
144,1,9
145,1,2
146,1,13
147,1,12
148,1,8
149,1,6
150,1,3
151,1,7
152,1,11
153,1,9
154,1,2
155,1,3
156,1,3
157,1,16
157,2,1
157,4,1
158,1,5
159,1,5
160,1,3
161,1,2
162,1,1
163,1,8
164,1,2
165,1,5
166,1,17
166,4,1
167,1,6
168,1,18
168,2,1
169,1,6
170,1,4
171,1,4
172,1,3
173,1,13
174,1,2
175,1,9
176,1,38
176,4,1
177,1,6
177,4,1
178,1,4
179,1,9
180,1,3
181,1,7
182,1,7
183,1,4
184,1,9
185,1,12
186,1,7
187,1,2
188,1,5
189,1,3
190,1,6
191,1,4
192,1,14
193,1,4
194,1,9
195,1,2
196,1,3
196,4,2
197,1,17
197,4,3
198,1,8
199,1,18
199,4,2
200,1,6
201,1,13
202,1,13
203,1,8
204,1,7
205,1,8
206,1,7
207,1,9
207,4,1
208,1,6
209,1,17
209,2,1
210,1,3
211,1,11
211,2,1
212,1,6
213,1,13
213,4,2
214,1,1
214,4,3
215,1,7
216,1,4
217,1,4
217,4,1
218,1,7
218,4,1
219,1,5
220,1,9
221,1,3
222,1,7
223,1,5
224,1,14
225,1,4
226,1,3
227,1,6
228,1,5
229,1,10
230,1,6
231,1,11
232,1,8
233,1,14
234,1,2
235,1,8
235,3,1
236,1,3
237,1,1
238,1,17
239,1,7
240,1,13
241,1,4
241,4,1
242,1,3
243,1,5
244,1,27
245,1,9
246,1,6
247,1,21
247,4,1
248,1,14
248,2,2
249,1,15
249,4,1
250,1,3
251,1,11
252,1,3
253,1,6
254,1,5
255,1,9
256,1,7
256,4,3
257,1,23
257,4,1
258,1,2
259,1,4
260,1,12
261,1,2
261,4,1
262,1,5
262,4,1
263,1,8
264,1,5
265,1,11
266,1,1
267,1,12
268,1,5
269,1,5
269,3,1
269,4,3
270,1,11
271,1,7
272,1,4
273,1,7
274,1,9
275,1,3
276,1,6
276,4,3
277,1,5
278,1,8
279,1,3
280,1,5
281,1,2
281,4,1
282,1,11
282,4,1
283,1,4
284,1,4
285,1,2
285,4,2
286,1,4
287,1,7
288,1,5
289,1,3
290,1,5
291,1,6
292,1,10
293,1,10
293,4,1
294,1,12
295,1,8
296,1,4
297,1,3
298,1,5
299,1,14
300,1,2
300,4,2
301,1,16
301,4,1
302,1,10
303,1,1
304,1,3
305,1,6
306,1,10
307,1,4
308,1,6
308,4,1
309,1,14
310,1,10
311,1,5
312,1,7
313,1,15
314,1,2
315,1,4
316,1,9
317,1,3
318,1,15
319,1,10
320,1,2
321,1,12
322,1,10
323,1,12
323,2,1
324,1,6
325,1,7
326,1,9
327,1,4
328,1,2
329,1,4
330,1,5
331,1,2
332,1,7
332,4,1
333,1,14
334,1,3
334,4,1
335,1,13
336,1,4
337,1,5
337,4,1
338,1,28
338,4,2
339,1,14
340,1,4
341,1,10
342,1,10
343,1,22
344,1,2
345,1,13
346,1,4
347,1,15
347,4,1
348,1,2
349,1,7
349,4,2
350,1,11
351,1,2
352,1,5
353,1,20
353,2,2
354,1,9
355,1,3
355,4,1
356,1,12
356,4,1
357,1,10
358,1,6
359,1,4
360,1,10
361,1,3
362,1,1
363,1,14
364,1,4
365,1,2
366,1,12
367,1,8
367,4,1
368,1,10
369,1,8
370,1,9
371,1,3
372,1,4
373,1,3
374,1,6
375,1,17
375,2,1
376,1,3
377,1,3
378,1,9
379,1,8
379,4,2
380,1,4
381,1,10
382,1,3
383,1,20
383,4,1
384,1,5
385,1,4
386,1,8
387,1,10
388,1,4
389,1,2
390,1,7
391,1,4
392,1,6
393,1,9
393,2,1
393,4,1
394,1,17
395,1,6
396,1,13
397,1,10
398,1,10
398,2,1
399,1,7
399,4,1
400,1,15
401,1,4
402,1,11
403,1,11
404,1,23
405,1,4
406,1,10
407,1,16
408,1,29
408,3,2
408,4,1
409,1,17
410,1,3
411,1,10
412,1,14
413,1,16
414,1,3
414,4,1
415,1,3
416,1,2
417,1,8
418,1,23
418,2,1
418,4,3
419,1,5
420,1,6
421,1,12
422,1,22
423,1,13
423,4,1
424,1,1
425,1,14
426,1,2
427,1,2
428,1,4
429,1,6
430,1,7
430,3,1
431,1,7
432,1,4
433,1,31
434,1,12
434,4,2
435,1,7
436,1,7
436,4,1
437,1,4
438,1,4
438,2,1
438,4,1
439,1,3
440,1,7
441,1,2
441,4,2
442,1,3
